playerId,gamesPlayed,playerDetails.givenName,playerDetails.surname,playerDetails.age,playerDetails.heightCm,playerDetails.weightKg,playerDetails.jumperNumber,playerDetails.kickingFoot,playerDetails.stateOfOrigin,playerDetails.draftYear,playerDetails.debutYear,playerDetails.recruitedFrom,playerDetails.draftPosition,playerDetails.draftType,playerDetails.position,playerDetails.bio,playerDetails.aflAwards,playerDetails.photoURL,playerDetails.dateOfBirth,team.teamId,team.teamAbbr,team.teamName,team.teamNickname,totals.matchesPlayed,totals.timeOnGroundPercentage,totals.behinds,totals.bounces,totals.centreBounceAttendances,totals.centreClearances,totals.clangers,totals.contestDefLosses,totals.contestDefLossPercentage,totals.contestDefOneOnOnes,totals.contestedMarks,totals.contestedPossessionRate,totals.contestedPossessions,totals.contestOffOneOnOnes,totals.contestOffWins,totals.contestOffWinsPercentage,totals.defHalfPressureActs,totals.disposalEfficiency,totals.disposals,totals.dreamTeamPoints,totals.effectiveDisposals,totals.effectiveKicks,totals.f50GroundBallGets,totals.freesAgainst,totals.freesFor,totals.goalAccuracy,totals.goalAssists,totals.goals,totals.groundBallGets,totals.handballs,totals.hitouts,totals.hitoutsToAdvantage,totals.hitoutToAdvantageRate,totals.hitoutWinPercentage,totals.inside50s,totals.interceptMarks,totals.intercepts,totals.kickEfficiency,totals.kickins,totals.kickinsPlayon,totals.kicks,totals.kickToHandballRatio,totals.marks,totals.marksInside50,totals.marksOnLead,totals.metresGained,totals.onePercenters,totals.pressureActs,totals.ranking,totals.ratingPoints,totals.rebound50s,totals.ruckContests,totals.scoreInvolvements,totals.scoreLaunches,totals.shotsAtGoal,totals.spoils,totals.stoppageClearances,totals.tackles,totals.tacklesInside50,totals.totalClearances,totals.totalPossessions,totals.turnovers,totals.uncontestedPossessions,averages.matchesPlayed,averages.timeOnGroundPercentage,averages.behinds,averages.bounces,averages.centreBounceAttendances,averages.centreClearances,averages.clangers,averages.contestDefLosses,averages.contestDefLossPercentage,averages.contestDefOneOnOnes,averages.contestedMarks,averages.contestedPossessionRate,averages.contestedPossessions,averages.contestOffOneOnOnes,averages.contestOffWins,averages.contestOffWinsPercentage,averages.defHalfPressureActs,averages.disposalEfficiency,averages.disposals,averages.dreamTeamPoints,averages.effectiveDisposals,averages.effectiveKicks,averages.f50GroundBallGets,averages.freesAgainst,averages.freesFor,averages.goalAccuracy,averages.goalAssists,averages.goals,averages.groundBallGets,averages.handballs,averages.hitouts,averages.hitoutsToAdvantage,averages.hitoutToAdvantageRate,averages.hitoutWinPercentage,averages.inside50s,averages.interceptMarks,averages.intercepts,averages.kickEfficiency,averages.kickins,averages.kickinsPlayon,averages.kicks,averages.kickToHandballRatio,averages.marks,averages.marksInside50,averages.marksOnLead,averages.metresGained,averages.onePercenters,averages.pressureActs,averages.ratingPoints,averages.rebound50s,averages.ruckContests,averages.scoreInvolvements,averages.scoreLaunches,averages.shotsAtGoal,averages.spoils,averages.stoppageClearances,averages.tackles,averages.tacklesInside50,averages.totalClearances,averages.totalPossessions,averages.turnovers,averages.uncontestedPossessions
CD_I1000044,0.0,Jez,McLennan,21,185,85,43,RIGHT,SA,2021,,Tanunda (SA)/Central District (SANFL),21.0,rookieElevation,MEDIUM_DEFENDER,,,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1000044.png?i10c=img.resize(scale_height:0.6),07/09/2000,CD_T1000,GCFC,Gold Coast Suns,Suns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD_I1000061,8.0,Callum,Coleman-Jones,23,200,105,21,RIGHT,SA,2017,2019,Unley (SA)/Scotch College (SA)/Sturt (SANFL)/Richmond,20.0,nationalDraft,RUCK,,,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1000061.png?i10c=img.resize(scale_height:0.6),13/06/1999,CD_T100,NMFC,North Melbourne,Kangaroos,8.0,71.9,3.0,0.0,73.0,7.0,24.0,0.0,0.0,2.0,8.0,49.5,46.0,14.0,2.0,14.3,39.0,60.0,90.0,421.0,54.0,22.0,8.0,12.0,9.0,33.3,4.0,3.0,26.0,44.0,78.0,25.0,32.1,33.2,13.0,7.0,17.0,47.8,0.0,0.0,46.0,1.0,25.0,3.0,2.0,957.0,12.0,77.0,468.0,113.9,3.0,235.0,24.0,9.0,9.0,8.0,3.0,12.0,1.0,10.0,93.0,25.0,47.0,8.0,71.9,0.4,0.0,73.0,0.9,3.0,0.0,0.0,0.3,1.0,49.5,5.8,1.8,0.3,14.3,4.9,60.0,11.3,52.6,6.8,2.8,1.0,1.5,1.1,33.3,0.5,0.4,3.3,5.5,9.8,3.1,32.1,33.2,1.6,0.9,2.1,47.8,0.0,0.0,5.8,1.0,3.1,0.4,0.3,119.7,1.5,9.6,113.9,0.4,29.4,3.0,1.1,1.1,1.0,0.4,1.5,0.1,1.3,11.6,3.1,5.9
CD_I1000068,2.0,Chris,Burgess,26,191,94,29,RIGHT,SA,2018,2019,Flinders Park (SA)/West Adelaide (SANFL),,other,KEY_FORWARD,,,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1000068.png?i10c=img.resize(scale_height:0.6),26/11/1995,CD_T1000,GCFC,Gold Coast Suns,Suns,2.0,87.6,1.0,0.0,0.0,0.0,2.0,2.0,50.0,4.0,5.0,72.7,8.0,5.0,2.0,40.0,3.0,81.8,11.0,57.0,9.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,60.0,0.0,0.0,5.0,0.8,7.0,1.0,0.0,207.0,9.0,11.0,426.0,137.9,1.0,0.0,6.0,0.0,1.0,9.0,0.0,2.0,2.0,0.0,11.0,2.0,3.0,2.0,87.6,0.5,0.0,0.0,0.0,1.0,1.0,50.0,2.0,2.5,72.7,4.0,2.5,1.0,40.0,1.5,81.8,5.5,28.5,4.5,1.5,1.0,0.0,0.0,0.0,0.5,0.0,1.5,3.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,60.0,0.0,0.0,2.5,0.8,3.5,0.5,0.0,103.7,4.5,5.5,137.9,0.5,0.0,3.0,0.0,0.5,4.5,0.0,1.0,1.0,0.0,5.5,1.0,1.5
CD_I1000072,20.0,John,Noble,25,180,75,9,RIGHT,SA,2019,2019,Plympton (SA)/West Adelaide (SANFL),14.0,other,MEDIUM_DEFENDER,,,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1000072.png?i10c=img.resize(scale_height:0.6),25/03/1997,CD_T40,COLL,Collingwood,Magpies,20.0,77.2,0.0,15.0,0.0,2.0,41.0,7.0,38.9,18.0,2.0,25.9,88.0,0.0,0.0,0.0,173.0,80.7,342.0,1321.0,276.0,168.0,0.0,19.0,20.0,0.0,5.0,0.0,71.0,121.0,0.0,0.0,0.0,0.0,49.0,18.0,100.0,76.0,9.0,9.0,221.0,1.8,87.0,1.0,0.0,6541.0,27.0,241.0,255.0,255.4,46.0,0.0,64.0,22.0,1.0,19.0,8.0,48.0,2.0,10.0,340.0,61.0,252.0,20.0,77.2,0.0,0.8,0.0,0.1,2.1,0.4,38.9,0.9,0.1,25.9,4.4,0.0,0.0,0.0,8.7,80.7,17.1,66.1,13.8,8.4,0.0,1.0,1.0,0.0,0.3,0.0,3.6,6.1,0.0,0.0,0.0,0.0,2.5,0.9,5.0,76.0,9.0,9.0,11.1,1.8,4.4,0.1,0.0,327.1,1.4,12.1,259.1,2.3,0.0,3.2,1.1,0.1,1.0,0.4,2.4,0.1,0.5,17.0,3.1,12.6
CD_I1000223,20.0,Liam,Baker,24,173,72,7,RIGHT,WA,2017,2018,Lake Grace (WA)/West Perth (WAFL)/Subiaco (WAFL),18.0,rookieElevation,MEDIUM_DEFENDER,,,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1000223.png?i10c=img.resize(scale_height:0.6),27/01/1998,CD_T120,RICH,Richmond,Tigers,20.0,83.2,7.0,1.0,49.0,8.0,70.0,3.0,33.3,9.0,2.0,37.7,139.0,10.0,3.0,30.0,164.0,72.1,380.0,1394.0,274.0,133.0,15.0,26.0,20.0,52.4,6.0,11.0,104.0,171.0,0.0,0.0,0.0,0.0,64.0,15.0,86.0,63.6,6.0,5.0,209.0,1.2,70.0,8.0,4.0,6258.0,46.0,345.0,90.0,376.6,43.0,0.0,99.0,29.0,21.0,18.0,22.0,50.0,9.0,30.0,369.0,72.0,230.0,20.0,83.2,0.4,0.1,49.0,0.4,3.5,0.2,33.3,0.5,0.1,37.7,7.0,0.5,0.2,30.0,8.2,72.1,19.0,69.7,13.7,6.7,0.8,1.3,1.0,52.4,0.3,0.6,5.2,8.6,0.0,0.0,0.0,0.0,3.2,0.8,4.3,63.6,6.0,5.0,10.5,1.2,3.5,0.4,0.2,312.9,2.3,17.3,381.2,2.2,0.0,5.0,1.5,1.1,0.9,1.1,2.5,0.5,1.5,18.5,3.6,11.5
CD_I1000267,5.0,Matthew,Parker,26,188,80,37,RIGHT,WA,2018,2019,Melville (WA)/South Frem (WAFL)/St Kilda/South Frem (WAFL),47.0,nationalDraft,MEDIUM_FORWARD,,,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1000267.png?i10c=img.resize(scale_height:0.6),25/01/1996,CD_T120,RICH,Richmond,Tigers,5.0,71.4,3.0,1.0,0.0,1.0,16.0,0.0,0.0,0.0,3.0,49.2,30.0,2.0,0.0,0.0,34.0,66.1,59.0,276.0,39.0,25.0,7.0,6.0,7.0,44.4,4.0,4.0,20.0,19.0,0.0,0.0,0.0,0.0,16.0,1.0,10.0,62.5,0.0,0.0,40.0,2.1,22.0,3.0,3.0,1425.0,5.0,93.0,538.0,76.1,3.0,0.0,17.0,2.0,9.0,2.0,2.0,9.0,4.0,3.0,61.0,21.0,31.0,5.0,71.4,0.6,0.2,0.0,0.2,3.2,0.0,0.0,0.0,0.6,49.2,6.0,0.4,0.0,0.0,6.8,66.1,11.8,55.2,7.8,5.0,1.4,1.2,1.4,44.4,0.8,0.8,4.0,3.8,0.0,0.0,0.0,0.0,3.2,0.2,2.0,62.5,0.0,0.0,8.0,2.1,4.4,0.6,0.6,285.0,1.0,18.6,76.1,0.6,0.0,3.4,0.4,1.8,0.4,0.4,1.8,0.8,0.6,12.2,4.2,6.2
CD_I1000860,19.0,Lachie,Schultz,24,178,84,5,RIGHT,VIC,2018,2019,Moama (NSW)/Bendigo U18/Williamstown (VFL),57.0,nationalDraft,MEDIUM_FORWARD,,,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1000860.png?i10c=img.resize(scale_height:0.6),30/11/1997,CD_T60,FRE,Fremantle,Freo,19.0,83.4,17.0,0.0,0.0,1.0,56.0,0.0,0.0,0.0,3.0,39.1,99.0,17.0,2.0,11.8,83.0,70.0,247.0,1220.0,173.0,99.0,31.0,27.0,19.0,47.3,18.0,26.0,69.0,92.0,0.0,0.0,0.0,0.0,41.0,6.0,33.0,63.9,0.0,0.0,155.0,1.7,76.0,18.0,14.0,4053.0,25.0,336.0,267.0,244.6,9.0,0.0,98.0,15.0,55.0,13.0,9.0,58.0,34.0,10.0,253.0,64.0,154.0,19.0,83.4,0.9,0.0,0.0,0.1,2.9,0.0,0.0,0.0,0.2,39.1,5.2,0.9,0.1,11.8,4.4,70.0,13.0,64.2,9.1,5.2,1.6,1.4,1.0,47.3,0.9,1.4,3.6,4.8,0.0,0.0,0.0,0.0,2.2,0.3,1.7,63.9,0.0,0.0,8.2,1.7,4.0,0.9,0.7,213.4,1.3,17.7,235.2,0.5,0.0,5.2,0.8,2.9,0.7,0.5,3.1,1.8,0.5,13.3,3.4,8.1
CD_I1000864,9.0,Lachlan,Bramble,24,181,80,16,RIGHT,VIC,2020,2021,Williamstown (VFL),,preseason,MEDIUM_DEFENDER,,,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1000864.png?i10c=img.resize(scale_height:0.6),19/04/1998,CD_T80,HAW,Hawthorn,Hawks,9.0,82.0,3.0,3.0,5.0,1.0,15.0,0.0,0.0,3.0,1.0,33.1,41.0,0.0,0.0,0.0,79.0,78.3,138.0,520.0,108.0,64.0,1.0,4.0,7.0,0.0,5.0,0.0,31.0,51.0,0.0,0.0,0.0,0.0,12.0,8.0,43.0,73.6,20.0,15.0,87.0,1.7,25.0,1.0,0.0,3032.0,14.0,100.0,384.0,163.8,28.0,0.0,28.0,8.0,5.0,11.0,7.0,21.0,0.0,8.0,124.0,22.0,83.0,9.0,82.0,0.3,0.3,5.0,0.1,1.7,0.0,0.0,0.3,0.1,33.1,4.6,0.0,0.0,0.0,8.8,78.3,15.3,57.8,12.0,7.1,0.1,0.4,0.8,0.0,0.6,0.0,3.4,5.7,0.0,0.0,0.0,0.0,1.3,0.9,4.8,73.6,20.0,15.0,9.7,1.7,2.8,0.1,0.0,336.9,1.6,11.1,163.8,3.1,0.0,3.1,0.9,0.6,1.2,0.8,2.3,0.0,0.9,13.8,2.4,9.2
CD_I1000887,15.0,Mitch,Lewis,23,199,101,2,RIGHT,VIC,2016,2018,Wallan (Vic)/Whittlesea (Vic)/Calder U18,76.0,nationalDraft,KEY_FORWARD,,,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1000887.png?i10c=img.resize(scale_height:0.6),14/10/1998,CD_T80,HAW,Hawthorn,Hawks,15.0,92.2,15.0,1.0,0.0,0.0,33.0,0.0,0.0,1.0,23.0,50.0,84.0,53.0,11.0,20.8,23.0,68.5,168.0,948.0,115.0,80.0,22.0,14.0,17.0,66.1,7.0,37.0,39.0,52.0,4.0,1.0,25.0,19.0,20.0,2.0,17.0,69.0,0.0,0.0,116.0,2.2,72.0,35.0,17.0,2929.0,34.0,168.0,235.0,271.9,1.0,21.0,89.0,9.0,56.0,27.0,4.0,16.0,11.0,4.0,168.0,29.0,84.0,15.0,92.2,1.0,0.1,0.0,0.0,2.2,0.0,0.0,0.1,1.5,50.0,5.6,3.5,0.7,20.8,1.5,68.5,11.2,63.2,7.7,5.3,1.5,0.9,1.1,66.1,0.5,2.5,2.6,3.5,0.3,0.1,25.0,19.0,1.3,0.1,1.1,69.0,0.0,0.0,7.7,2.2,4.8,2.3,1.1,195.3,2.3,11.2,271.9,0.1,1.4,5.9,0.6,3.7,1.8,0.3,1.1,0.7,0.3,11.2,1.9,5.6
CD_I1000932,18.0,Tom,Doedee,25,187,90,39,RIGHT,VIC,2015,2018,"St Joseph&apos;s, Geel (Vic)/St Joseph&apos;s College, Geel (Vic)/Geel U18",17.0,nationalDraft,KEY_DEFENDER,,,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1000932.png?i10c=img.resize(scale_height:0.6),01/03/1997,CD_T10,ADEL,Adelaide Crows,Crows,18.0,94.0,0.0,2.0,0.0,0.0,35.0,12.0,25.0,48.0,12.0,39.1,106.0,0.0,0.0,0.0,125.0,79.8,297.0,1084.0,237.0,126.0,0.0,11.0,18.0,0.0,0.0,0.0,76.0,135.0,0.0,0.0,0.0,0.0,20.0,37.0,141.0,77.8,18.0,16.0,162.0,1.2,77.0,0.0,0.0,4356.0,113.0,155.0,105.0,363.5,55.0,0.0,30.0,15.0,0.0,95.0,6.0,28.0,0.0,6.0,271.0,46.0,165.0,18.0,94.0,0.0,0.1,0.0,0.0,1.9,0.7,25.0,2.7,0.7,39.1,5.9,0.0,0.0,0.0,6.9,79.8,16.5,60.2,13.2,7.0,0.0,0.6,1.0,0.0,0.0,0.0,4.2,7.5,0.0,0.0,0.0,0.0,1.1,2.1,7.8,77.8,18.0,16.0,9.0,1.2,4.3,0.0,0.0,242.0,6.3,8.6,363.5,3.1,0.0,1.7,0.8,0.0,5.3,0.3,1.6,0.0,0.3,15.1,2.6,9.2
